http_id,service_environment,esc_policy,orch_pattern,last_field
ads_o,Non-Production,MAIST NonProd escalation,ads,
ames_o,Non-Production,MAIST NonProd escalation,ames,
epas_o,Non-Production,MAIST NonProd escalation,epas,
epoxy_o,Non-Production,MAIST NonProd escalation,epoxy,
iops_o,Non-Production,MAIST NonProd escalation,iops,
jboss_o,Non-Production,MAIST NonProd escalation,jboss,
share2_o,Non-Production,MAIST NonProd escalation,share2,
share_o,Non-Production,MAIST NonProd escalation,share,
xops_o,Non-Production,MAIST NonProd escalation,xops,
xreplus_o,Non-Production,MAIST NonProd escalation,xreplus,
xtern_o,Non-Production,MAIST NonProd escalation,xtern,
ads_p,Production,MAIST Email Escalation,URLResp/http-ads,
ames_p,Production,MAIST Email Escalation,URLResp/http-ames,
epas_p,Production,MAIST Email Escalation,URLResp/http-epas,
espww_p,Production,MAIST Email Escalation,URLResp/httpd-p_espacenetwwwebserver_node,
iops_p,Production,MAIST Email Escalation,URLResp/http-iops,
jboss_p,Production,MAIST Email Escalation,URLResp/http-jboss,
moses_p,Production,MAIST Email Escalation,URLResp/http-moses,
ocrweb_p,Production,MAIST Email Escalation,URLResp/http-ocrweb,
patnet_p,Production,MAIST Email Escalation,URLResp/http-patnet_p,
share2_p,Production,MAIST Email Escalation,URLResp/http-share2,
share_p,Production,MAIST Email Escalation,URLResp/http-shared,
trinet_p,Production,MAIST Email Escalation,URLResp/http-trinet_p,
xhfs_p,Production,MAIST Email Escalation,URLResp/http-xhfs_p,
xinet_p,Production,MAIST Email Escalation,URLResp/http-xinet_p,
xnotes_p,Production,MAIST Email Escalation,URLResp/http-xnotes_p,
xops_p,Production,MAIST Email Escalation,URLResp/http-xops_p,
xreplus_p,Production,MAIST Email Escalation,URLResp/http-xreplus_p,
xtern2_p,Production,MAIST Email Escalation,URLResp/httpd-p_epolinewebserver_node,
xtern_p,Production,MAIST Email Escalation,URLResp/http-xtern_p,
xwcm_p,Production,MAIST Email Escalation,URLResp/http-xwcm_p,
