app_id,package_id,install_instance,service_environment,esc_policy,application_service,jserviceprobe_prio,oi_link,ads_context,business_prio,svc_calendar,last_field
1,adm,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0051806,http://ads.internal.epo.org/ads10/service/application,,,
2,admintools-portal,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052399,http://ads.internal.epo.org/ads35/service/application,,,
3,alathea-server,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052479,http://ads.internal.epo.org/ads44/service/application,,,
4,asap,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052070,http://ads.internal.epo.org/ads35/service/application,,,
5,awm-server,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052279,http://ads.internal.epo.org/ads10/service/application,,,
6,BIO-DAL,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052299,http://ads.internal.epo.org/ads35/service/application,,,
7,bre-gui-server,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052093,http://ads.internal.epo.org/ads44/service/application,,,
8,bre-server,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052093,http://ads.internal.epo.org/ads44/service/application,,,
9,casap,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052145,http://ads.internal.epo.org/ads10/service/application,,,
10,casapr,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052145,http://ads.internal.epo.org/ads10/service/application,,,
11,cil-server,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052268,http://ads.internal.epo.org/ads10/service/application,p2,,
12,citationServer,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052479,http://ads.internal.epo.org/ads41/service/application,,,
14,ClassAlloc,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052366,http://ads.internal.epo.org/ads10/service/application,p2,,
15,ClassAllocAdmin,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052366,http://ads.internal.epo.org/ads10/service/application,,,
16,ClassDb,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052362,http://ads.internal.epo.org/ads10/service/application,p2,,
17,cpc-server,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052364,http://ads.internal.epo.org/ads10/service/application,,,
20,csp2,prod_csp2-7_40,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052365,http://ads.internal.epo.org/ads41/service/application,,,
21,csp2,prod_csp2-7_30,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052365,http://ads.internal.epo.org/ads41/service/application,,,
22,csp2psr,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052365,http://ads.internal.epo.org/ads41/service/application,,,
23,csp2wax,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052365,http://ads.internal.epo.org/ads41/service/application,,,
24,DatimtexClientView,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052133,http://ads.internal.epo.org/ads41/service/application,,,
25,datimtex-logger,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052133,http://ads.internal.epo.org/ads16/service/application,,,
26,dms,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052369,http://ads.internal.epo.org/ads37c/service/application,,,
27,docdbLookup,prod,Production,MAIST Email Escalation,,p3,https://epoprod.service-now.com/sp?id=kb_article_view&sysparm_article=KB0052093,http://ads.internal.epo.org/ads41/service/application,,,
