jsf_id,jsf_name,jsf_descr,service_environment,esc_policy,jsf_monitor_prio,env_key,svc_calendar,last_field
jsf1,APP_NUMBER_SERVICE,ApplicationNumberProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf2,BUSINESSLOGIC_DB_SERVICE,BusinessLogicDBProxy,Production,MAIST Email Escalation,,jsf-p,c_19h_20h_sa20h_su7h,
jsf3,CLIENT_SERVICE,ClientProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf4,DATIMTEX_LIBRARY_SERVICE,DatimtexLibraryProxy,Production,MAIST Email Escalation,,jsf-p,c_06h00_19h00_Mo_Fr,
jsf5,DATIMTEX_PUBLICATION_MANAGER_SERVICE,DatimtexPublicationManagerProxy,Production,MAIST Email Escalation,,jsf-p,c_06h00_19h00_Mo_Fr,
jsf6,DISTR_SERVICE,DistributionProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf7,DOS_CONTENT_SERVICE,DossierContentProxy,Production,MAIST Email Escalation,,jsf-p,c_19h_20h_sa20h_su7h,
jsf8,DOS_IMAGE_SERVICE_BNS,DossierImageProxy_BNS,Production,MAIST Email Escalation,,jsf-p,c_04h55_05h35,
jsf9,DOS_IMAGE_SERVICE_PXI,DossierImageProxy_PXI,Production,MAIST Email Escalation,,jsf-p,c_04h55_05h35,
jsf10,DOS_SERVICE,DossierProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf13,LEGACY_SERVICE,LegacyProxy,Production,MAIST Email Escalation,,jsf-p,c_19h_20h_sa20h_su7h,
jsf14,LOADER_SERVICE,LoaderProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf15,MAIL_SERVICE,MailProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf16,MAILBOXSUPPORT_SERVICE,MailboxSupportProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf17,MQ_SERVICE,MQProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf18,MQEXPORT_SERVICE,MQExportProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf19,ONLINE_EXP_SERVICE,OnlineExportProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf20,ONLINE_IMP_SERVICE,OnlineImportProxy,Production,MAIST Email Escalation,,jsf-p,c_19h_20h_sa20h_su7h,
jsf21,PAYMENT_DATA_SERVICE,PaymentDataProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf22,PAYMENT_SERVICE,PaymentProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf23,PCF_SERVICE,PcfProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf24,PHOENIX_SERVICE,PhoenixServerProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf25,PHOENIXTOOL_SERVICE,PhoenixToolsServiceProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf26,PHOENIXTRIGGER_SERVICE,PhoenixTriggerProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf27,PRINT_SERVICE,PrintManagerServiceProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf28,REPOS_SERVICE,ReposProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf29,SCRIPTMAN_SERVICE_COPY,ScriptManServiceProxy_PRODCOPY,Production,MAIST Email Escalation,,jsf-p,,
jsf30,SECURE_USERDIRECTORY_SERVICE,SecureUserDirectoryServiceProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf31,SIGNING_SERVICE,SigningServiceProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf32,USERDIRECTORY_SERVICE,UserDirectoryServiceProxy,Production,MAIST Email Escalation,,jsf-p,,
jsf01,APP_NUMBER_SERVICE,ApplicationNumberProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf02,BUSINESSLOGIC_DB_SERVICE,BusinessLogicDBProxy,Non-Production,MAIST NonProd escalation,,jsf-o,c_19h_20h_sa20h_su7h,
jsf03,CLIENT_SERVICE,ClientProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf04,DATIMTEX_LIBRARY_SERVICE,DatimtexLibraryProxy,Non-Production,MAIST NonProd escalation,,jsf-o,c_06h00_19h00_Mo_Fr,
jsf05,DATIMTEX_PUBLICATION_MANAGER_SERVICE,DatimtexPublicationManagerProxy,Non-Production,MAIST NonProd escalation,,jsf-o,c_06h00_19h00_Mo_Fr,
jsf06,DISTR_SERVICE,DistributionProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf07,DOS_CONTENT_SERVICE,DossierContentProxy,Non-Production,MAIST NonProd escalation,,jsf-o,c_19h_20h_sa20h_su7h,
jsf08,DOS_IMAGE_SERVICE_BNS,DossierImageProxy_BNS,Non-Production,MAIST NonProd escalation,,jsf-o,c_04h55_05h35,
jsf09,DOS_IMAGE_SERVICE_PXI,DossierImageProxy_PXI,Non-Production,MAIST NonProd escalation,,jsf-o,c_04h55_05h35,
jsf010,DOS_SERVICE,DossierProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf013,LEGACY_SERVICE,LegacyProxy,Non-Production,MAIST NonProd escalation,,jsf-o,c_19h_20h_sa20h_su7h,
jsf014,LOADER_SERVICE,LoaderProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf015,MAIL_SERVICE,MailProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf016,MAILBOXSUPPORT_SERVICE,MailboxSupportProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf017,MQ_SERVICE,MQProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf018,MQEXPORT_SERVICE,MQExportProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf019,ONLINE_EXP_SERVICE,OnlineExportProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf020,ONLINE_IMP_SERVICE,OnlineImportProxy,Non-Production,MAIST NonProd escalation,,jsf-o,c_19h_20h_sa20h_su7h,
jsf021,PAYMENT_DATA_SERVICE,PaymentDataProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf022,PAYMENT_SERVICE,PaymentProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf023,PCF_SERVICE,PcfProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf024,PHOENIX_SERVICE,PhoenixServerProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf025,PHOENIXTOOL_SERVICE,PhoenixToolsServiceProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf026,PHOENIXTRIGGER_SERVICE,PhoenixTriggerProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf027,PRINT_SERVICE,PrintManagerServiceProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf028,REPOS_SERVICE,ReposProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf029,SCRIPTMAN_SERVICE_COPY,ScriptManServiceProxy_Non-ProductionCOPY,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf030,SECURE_USERDIRECTORY_SERVICE,SecureUserDirectoryServiceProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf031,SIGNING_SERVICE,SigningServiceProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
jsf032,USERDIRECTORY_SERVICE,UserDirectoryServiceProxy,Non-Production,MAIST NonProd escalation,,jsf-o,,
